Date,x_train,y_train
1/03/2019,SILVERTOP VIC 131008,Taxi
1/03/2019,WOOLWORTHS 3089,Supermarket
1/03/2019,Papparich - Transfer to Jane Doe,Food
1/03/2019,PUBLIC TRANSPORT VICT,Myki
1/03/2019,WOOLWORTHS 3762,Supermarket
1/03/2019,PUBLIC TRANSPORT VICT,Myki
1/03/2019,VJJ VENTURE PTY LTD,Food
1/03/2019,ALDI STORES - EIG,Supermarket
1/03/2019,Jane Doe,Food
1/03/2019,PORGIE MR JONES,Food
1/03/2019,WOOLWORTHS 3762,Supermarket
1/03/2019,International Transaction Fee Rebate,International Fee
1/03/2019,International Transaction Fee,International Fee
1/03/2019,PAYPAL *SPOTIFY,Spotify
1/03/2019,PUBLIC TRANSPORT VICT,Myki
1/03/2019,PUBLIC TRANSPORT VICT,Myki
1/03/2019,Internal Transfer - Internal Transfer,Internal transfer
1/03/2019,MS Jane Doe Bills - Deposit,Bills
1/03/2019,Internal Transfer - Internal Transfer,Internal transfer
1/03/2019,Internal Transfer,Internal transfer
1/03/2019,Internal Transfer,Internal transfer
1/02/2019,Powershop - Direct Debit,Bills
1/02/2019,MYKI STHRNCRSS RS SST,Myki
1/02/2019,EXTRACTION LAB PTY LTD,Food
1/02/2019,WOOLWORTHS 3452,Supermarket
1/02/2019,Bonus Interest Credit,Interest
1/02/2019,Interest Credit,Interest
1/02/2019,GM CABS PTY LTD,Taxi
1/02/2019,PROPERTY EXCHANG T5640842460,Income
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,ALTITUDE BREWING LIM,Food
1/02/2019,Powershop - Direct Debit,Bills
1/02/2019,JANE DOE Debts ,Entertainment
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,TAXICHARGE,Taxi
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,ALTA,Food
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,BP CONNECT QUEENSTOWN,Petrol
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,FERGBAKER,Food
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,WINNIES GOURMET PIZZA,Food
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,QLDC PARKING,Car
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,TE ANAU CLUB INC,Food
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,QLDC PARKING,Car
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,THRIFTY CAR RENTALS,Car
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,PAYPAL *UBER AU,Taxi
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,AAA CORP PTY LTD,Food
1/02/2019,PEXA             MNTH RWAR01,Income
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,MYKI STHRNCRSS RS SST,Myki
1/02/2019,GREYVENSTEIN VIC PTY L,Food
1/02/2019,HALLS GAP BAKERY VIC,Food
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,PUBLIC TRANSPORT VICT,Myki
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,WOOLWORTHS 3089,Supermarket
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,International Transaction Fee Rebate,International Fee
1/02/2019,International Transaction Fee,International Fee
1/02/2019,PAYSTAY,Car
1/02/2019,MARMALADE CAFE,Food
1/02/2019,WOOLWORTHS 3161,Supermarket
1/02/2019,groceries - Internal Transfer,Internal transfer
1/02/2019,groceries - Internal Transfer,Internal transfer
1/02/2019,PUBLIC TRANSPORT VICT,Myki
1/02/2019,Jane Doe costco - Transfer to +61-452401454,Supermarket
1/02/2019,water - BPAY Bill Payment,Bills
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,EXTRACTION LAB PTY LTD,Food
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,Bar Nacional,Food
1/02/2019,RITCHIES EAST E,Supermarket
1/02/2019,AIRPORTRENTALS.COM,Car
1/02/2019,PUBLIC TRANSPORT VICT,Myki
1/02/2019,WOOLWORTHS 3762,Supermarket
1/02/2019,PUBLIC TRANSPORT VICT,Myki
1/02/2019,Internal Transfer - Internal Transfer,Internal transfer
1/02/2019,Internal Transfer,Internal transfer
1/02/2019,PUBLIC TRANSPORT VICT,Myki
1/02/2019,Mr Burger,Food
1/02/2019,Powershop - Direct Debit,Bills
1/02/2019,SQ *STAY GOLD,Food
1/01/2019,WOOLWORTHS 3762,Supermarket
1/01/2019,Bonus Interest Credit,Interest
1/01/2019,Interest Credit,Interest
1/01/2019,International Transaction Fee Rebate,International Fee
1/01/2019,International Transaction Fee,International Fee
1/01/2019,PAYPAL *SPOTIFY,Spotify
1/01/2019,Jane Doe car repair - Transfer to +61-452401454,Car
1/01/2019,groceries - Internal Transfer,Internal transfer
1/01/2019,COLES 0595,Supermarket
1/01/2019,WOOLWORTHS 3161,Supermarket
1/01/2019,groceries - Internal Transfer,Internal transfer
1/01/2019,PUBLIC TRANSPORT VICT,Myki
1/01/2019,Nosh 352 Lt Collins,Food
1/01/2019,Powershop - Direct Debit,Bills
1/01/2019,MR Jane Doe  - Deposit,Bills
1/01/2019,PUBLIC TRANSPORT VICT,Myki
1/01/2019,WOOLWORTHS 3161,Supermarket
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,Internal Transfer,Internal transfer
1/01/2019,Internal Transfer,Internal transfer
1/01/2019,IMMANUEL BRIGHTON EAST,Food
